FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
69,2019-11-11,Falcon 9,,,Unknown Pad,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
70,2019-12-05,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
71,2019-12-17,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
72,2020-01-07,Falcon 9,,,Unknown Pad,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
73,2020-01-19,Falcon 9,,,Unknown Pad,None None,4,False,True,False,,,,,,
74,2020-01-29,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
75,2020-02-17,Falcon 9,,,Unknown Pad,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
76,2020-03-07,Falcon 9,,,Unknown Pad,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,,
77,2020-03-18,Falcon 9,,,Unknown Pad,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
78,2020-04-22,Falcon 9,,,Unknown Pad,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
79,2020-05-30,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
80,2020-06-04,Falcon 9,,,Unknown Pad,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
81,2020-06-13,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
82,2020-06-30,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
83,2020-07-20,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
84,2020-08-18,Falcon 9,,,Unknown Pad,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
85,2020-08-30,Falcon 9,,,Unknown Pad,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,,,,,
86,2020-09-03,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
87,2020-10-06,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
88,2020-10-18,Falcon 9,,,Unknown Pad,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
89,2020-10-24,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
90,2020-11-05,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
